Division,Name of School,EMIS Code," Grade of HeadMaster","Period/ Tenure From               To","Period/ Tenure From               To",No. of Students  in 9th (2012) as per Registeration,"No. of Students appeared in 10th, BISE Exam:2014","No. of students passed in 10th Exam, 2014",Pass % of School 9th,Pass % of School 10th ,Drop out 9th-10th (Column 8-9),% dropout,Remarks / Action Taken
LAHORE,GGHSS Shahkot,3563009,19,19-11-1999,29-4-2014,625,454,296,47.36,65.20,171,27.36,
LAHORE,GHSS Bara Ghar,35610001,19,23-10-2012,Uptill Now,74,74,55,74.32,74.32,0,0.00,
LAHORE,GHSS Randir Chak No.13,35610002,19,24-10-12,Uptill Now,45,32,15,33.33,46.88,13,28.89,
LAHORE,GGHSS More Khunda,35610003,19,3 Year,Uptill Now,196,167,148,75.51,88.62,29,14.80,
LAHORE,GGHSS Sayed Wala,35610004,19,15-6-2012,Uptill Now,116,116,79,68.10,68.10,0,0.00,
LAHORE,GHS Kot Tahir ,35610005,17,22-7-8,Uptill Now,39,38,22,56.41,57.89,1,2.56,
LAHORE,GHS Bande Ki Jageer,35610006,17,01/09/2012,03/03/2014,48,39,31,64.58,79.49,9,18.75,
LAHORE,GHS Bucheki,35610007,18,08/01/2013,Uptill Now,33,30,22,66.67,73.33,3,9.09,
LAHORE,GHS Behari Pur,35610008,16,02/01/2014,Uptill Now,53,42,35,66.04,83.33,11,20.75,
LAHORE,GHS Rehan Wala,35610009,19,04/03/2009,Uptill Now,88,63,63,71.59,100.00,25,28.41,
LAHORE,GHS Mangu Taru,35610010,14,1 Year,Uptill Now,25,15,7,28.00,46.67,10,40.00,
LAHORE,GHS Khiare Kalan,35610011,17,13-8-13,Uptill Now,14,11,5,35.71,45.45,3,21.43,
LAHORE,GHS Haft Madar,35610012,17,13-08-2013,Uptill Now,89,39,30,33.71,76.92,50,56.18,
LAHORE,GHS Iqbal Model Bucheki,35610014,18,1 Year,Uptill Now,58,51,35,60.34,68.63,7,12.07,
LAHORE,GHS Seni Bar Chak No.7,35610015,16,07/10/2012,25-6-14,99,71,49,49.49,69.01,28,28.28,
LAHORE,GHS Rajjab,35610016,16,02/01/2014,Uptill Now,40,20,15,37.50,75.00,20,50.00,
